Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Stimulus_Identity,Evaluative_Measures_Order,IAT_Block_Order,US_Stimuli_Identity,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,CS_US_Color_Contingency_CS1,CS_US_Color_Contingency_CS2,CS_US_Color_Contingency_CS1_Recoded,CS_US_Color_Contingency_CS2_Recoded,CS_US_Color_Contingency_Total,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,Hypothesis_Awareness,HYPOT0,Hypothesis_Awareness_recoded,Influence_Awareness_response,INFLU0,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Total_Contingency_Awareness_Score
248,NA,27,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.13,NA,I would try Morag                                                                                   ,                                                                                                    ,4,4,4,4,-5,-5,-5,-5,4,-5,9,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,2
254,NA,36,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.15,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,2
257,NA,24,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,0,0,1,1,1,0,0,0.75,-0.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes, there was a repeted theme, where Struan stayed the same colour as the ""bad"" word, and Morag stayed teh same colour as the ""good"" word.                                                                                                                    ",                                        ,1,"No, they're both fictitous words.                                                                                                                                                                                                                              ",                                         ,0,Yes           ,No            ,Yes           ,No            ,2
259,NA,31,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.75,NA,I would try Morag                                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,"I noticed a pattern quite quickly so noticed Morag was associated with positive words and Struan was associated with negative words. Didnt make me like or dislike, just more about word association                                                           ",                                         ,0,No            ,No            ,No            ,No            ,0
260,NA,24,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.56,NA,I would try Morag                                                                                   ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,Yes           ,No            ,No            ,No            ,2
261,NA,24,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,2,0,0.5,-0.5,NA,The negative words                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,Those two other words always have a negative meaning                                                ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes                                                                                                                                                                                                                                                            ,                                         ,1,Yes           ,Yes           ,No            ,I don’t know,2
263,NA,24,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.07,NA,I would try Morag                                                                                   ,                                                                                                    ,3,3,3,3,-3,-3,-3,-3,3,-3,6,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,no but made it feel more assosiated with it                                                                                                                                                                                                                    ,                                         ,0,Yes           ,Yes           ,No            ,Yes           ,2
266,NA,32,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.02,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-3,-3,-3,0,4,4,4,4,-2.25,4,-6.25,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,"Yes - the negative word always stayed the same colour as Morag, the positive word always stayed the same colour as Struan                                                                                                                                      ",                                        ,1,Yes; Morag felt more negative and Struan felt more positive                                                                                                                                                                                                    ,                                         ,1,No            ,No            ,No            ,No            ,2
267,NA,22,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.51,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-3,-2,-2,-3,4,4,3,4,-2.5,3.75,-6.25,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes, MORAG was always the same as negative words, while STRUAN was always associated with positive words.                                                                                                                                                      ",                                        ,1,"No, but I noticed that there was meant to be some sort of positive/negative affect on my judgement, which came into play in the second part of the study. I don't dislike either of them for any of those reasons, though.                                     ",                                         ,0,Yes           ,No            ,No            ,No            ,2
272,NA,40,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.22,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,No                                                                                                                                                                                                                                                             ,                                        ,0,no                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,2
276,NA,40,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.53,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,no                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,2
278,NA,29,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.34,NA,I would try Morag                                                                                   ,                                                                                                    ,3,4,4,3,-5,-4,-4,-4,3.5,-4.25,7.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Not sure                                                                                                                                                                                                                                                       ,                                         ,0,Yes           ,I don’t know,No            ,No            ,2
279,NA,25,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.17,NA,I would try Morag                                                                                   ,                                                                                                    ,4,3,4,3,-4,-3,-4,-3,3.5,-3.5,7,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,Yes           ,No            ,No            ,No            ,2
282,NA,34,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.13,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes. associated them with those words                                                                                                                                                                                                                          ,                                         ,1,No            ,No            ,No            ,No            ,0
283,NA,40,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.96,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes, i noticed the change in colors.                                                                                                                                                                                                                           ",                                        ,1,"Yes, the color always stayed the same with either a positive or negative word.                                                                                                                                                                                 ",                                         ,1,No            ,No            ,No            ,No            ,2
284,NA,21,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.31,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,1,0,0.25,-0.25,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,Yes           ,Yes           ,No            ,No            ,0
285,NA,30,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.49,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,1,0,0,2,1,0,-1,0.25,0.5,-0.25,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,I don’t know,No            ,2
288,NA,18,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.07,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,"Yea I did, some were pink too.                                                                                                                                                                                                                                 ",                                        ,1,nope. it didnt                                                                                                                                                                                                                                                 ,                                         ,0,No            ,No            ,No            ,No            ,2
295,NA,21,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.47,NA,I would try neither Brand                                                                           ,                                                                                                    ,4,4,4,4,-4,-4,-4,-4,4,-4,8,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,no                                                                                                                                                                                                                                                             ,                                         ,0,Yes           ,Yes           ,No            ,I don’t know,2
296,NA,28,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.6,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,1,0,0,0,0,1,0.25,0.25,0,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes I noticed                                                                                                                                                                                                                                                  ,                                        ,1,no difference                                                                                                                                                                                                                                                  ,                                         ,0,Yes           ,Yes           ,No            ,Yes           ,2
298,NA,19,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.47,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,-1,-1,0,0,-1,-1,-0.5,-0.5,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes, I did notice that the color of one of the two words presented on the right side of the screen changed, while thet other word stayed the same color as MORAG or STRUAN.                                                                                    ",                                        ,1,No. The colors of the words did not infiuence how much I liked or disliked MORAG or STRUAN.                                                                                                                                                                    ,                                         ,0,No            ,No            ,No            ,No            ,2
299,NA,35,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.72,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,1,1,1,1,2,2,2,2,1,2,-1,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes, I did notice it.                                                                                                                                                                                                                                          ",                                        ,1,"No, it didn't.                                                                                                                                                                                                                                                 ",                                         ,0,No            ,No            ,No            ,No            ,2
300,NA,30,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.35,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,2,2,2,1,-2,-2,-2,-2,1.75,-2,3.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,Yes. I could see that there was always an odd word out. The colours were quite often a luminous-like colour (pink/yellow).                                                                                                                                     ,                                        ,1,Not really. I think I gravitated more towards MORAG as I prefered the name.                                                                                                                                                                                    ,                                         ,0,No            ,I don’t know,No            ,I don’t know,0
303,NA,27,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,1.01,NA,I would try Morag                                                                                   ,                                                                                                    ,1,0,1,1,0,0,0,0,0.75,0,0.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,0
